seed,outer_fold,test_year,inference_time,train_time
42,1,2022,0.008927106857299805,9.013381481170654
42,2,2023,0.007439851760864258,8.836087465286255
42,3,2024,0.006801605224609375,8.620582103729248
123,1,2022,0.009479999542236328,5.467248201370239
123,2,2023,0.007822036743164062,7.660031795501709
123,3,2024,0.005507707595825195,5.580653429031372
2024,1,2022,0.0052111148834228516,6.329732656478882
2024,2,2023,0.006954669952392578,6.357701778411865
2024,3,2024,0.005534172058105469,6.634087085723877
42,1,2022,0.009827375411987305,7.864829063415527
42,2,2023,0.011350393295288086,7.369656324386597
42,3,2024,0.02722477912902832,11.1417715549469
123,1,2022,0.012337923049926758,10.756030321121216
123,2,2023,0.012758493423461914,12.97088623046875
123,3,2024,0.0078582763671875,16.169957876205444
2024,1,2022,0.010827302932739258,9.100642681121826
2024,2,2023,0.011323928833007812,8.413630723953247
2024,3,2024,0.012499094009399414,9.74713683128357
