departamento,RMSE_mean,RMSE_ci_lo,RMSE_ci_hi,MAE_mean,MAE_ci_lo,MAE_ci_hi,R2_mean,R2_ci_lo,R2_ci_hi
Bogota d.c.,0.24836983933274448,0.10050911453791947,0.3962305641275695,0.1635365790685344,0.05865211351813686,0.2684210446189319,0.0,,
Antioquia,0.7628051693242833,-0.24285374788054714,1.768464086529114,0.5096458051137783,-0.15318487877602194,1.1724764890035786,0.8467119132101821,0.45437146743907214,1.239052358981292
Boyaca,0.9025773820496162,0.708886346591281,1.0962684175079516,0.5384071689108244,0.41152005580536666,0.6652942820162822,0.6806005769538105,0.5593972372431989,0.8018039166644221
Magdalena,1.096781409831332,0.8490110088223972,1.3445518108402668,0.8261045760906911,0.6118208200546831,1.0403883321266991,0.7180791407468131,0.6189276770383145,0.8172306044553117
Cundinamarca,1.1437066335244,0.7245960369267346,1.5628172301220653,0.7107082323572058,0.4636296576149487,0.957786807099463,0.8744402507426526,0.7962144344700225,0.9526660670152828
Caldas,1.2672055089213432,0.7649289843363807,1.7694820335063057,0.7728637171769392,0.4500187048359146,1.095708729517964,0.755702890920391,0.5725168407107739,0.9388889411300081
Norte De Santander,1.2702661105969255,1.1097417530986864,1.4307904680951646,0.9137184679387095,0.8743696724900867,0.9530672633873323,0.7432552470976241,0.7084218288769891,0.7780886653182592
Cesar,1.3045930461453714,0.9115415960935311,1.6976444961972117,1.023390940379244,0.6735693007509567,1.3732125800075314,0.6056927150836895,0.39186633413263106,0.8195190960347479
Cordoba,1.3411302980813797,1.2768839447831533,1.4053766513796062,1.0294060015490636,0.9307572345612123,1.1280547685369149,0.5894635620474608,0.5179262667774048,0.6610008573175167
Narino,1.5254066842992458,0.8059325958265692,2.244880772771922,1.0027619799694638,0.6570245695079004,1.3484993904310272,0.3005825902481595,-0.1769795819105825,0.7781447624069014
Guajira,1.7817403971287422,1.3791133551864303,2.184367439071054,1.252860506760138,0.9864568748961362,1.5192641386241397,0.43510820733691613,0.2513194742424138,0.6188969404314184
Bolivar,2.0928018240278767,1.2498928112174963,2.935710836838257,1.5185923818270781,0.8907357187315375,2.146449044922619,0.7305750220710001,0.5139958022421399,0.9471542418998603
Cauca,2.1711712037023534,1.8201519971505642,2.5221904102541424,1.2930425722003636,0.9320814834528584,1.6540036609478688,0.8604683049598917,0.780315114950128,0.9406214949696554
Atlantico,2.2967082766740163,1.6993642605306283,2.8940522928174044,1.5244657767791499,1.1294142939206016,1.9195172596376981,0.6644434399312832,0.5000724656830473,0.8288144141795191
Choco,2.3357990503370525,2.1090966780580414,2.5625014226160636,1.8577492725223597,1.64950412700455,2.0659944180401695,-0.06378920236706927,-0.545208132027768,0.4176297272936294
Sucre,2.515441836267988,1.5756874219360406,3.455196250599935,1.8840688129575565,1.1551993564467438,2.612938269468369,0.6340730628407697,0.3764459477184038,0.8917001779631356
Vichada,3.000694732120611,2.443373718607294,3.558015745633928,2.0194467904104774,1.6568783456240956,2.3820152351968593,0.4674841971386055,0.34963380482776246,0.5853345894494486
Caqueta,3.032898896968911,2.8631734964050244,3.2026242975327976,2.340805611994997,2.059395637889552,2.6222155861004417,0.5845055484044531,0.476668082412146,0.6923430143967603
Arauca,3.0549615560578864,2.6883476617051345,3.4215754504106384,1.9283548028456208,1.6786420609320702,2.1780675447591715,0.6675242835137624,0.628524316917406,0.7065242501101188
Risaralda,3.2351470610603776,2.7432868191943878,3.7270073029263675,1.5805729450563764,1.5068975073749846,1.654248382737768,0.8377246485280647,0.7912442873113115,0.884205009744818
Tolima,4.632063991332505,2.6335389325638423,6.630589050101166,2.6918889274712683,1.8661789675042297,3.517598887438307,0.7606068402994975,0.6356986908014433,0.8855149897975518
Amazonas,4.775448765218236,0.8946209965400098,8.656276533896463,2.938794796565244,1.2815434841929627,4.596046108937525,0.44130848564478153,0.19823665086968328,0.6843803204198797
Casanare,5.113563143508254,4.79537098783331,5.431755299183198,2.964165192918261,2.9135827316029177,3.014747654233604,0.6588587445646553,0.6094163080936829,0.7083011810356278
Santander,5.2114923635757515,4.384229397158748,6.038755329992755,2.985469396466083,2.672838617972275,3.2981001749598904,0.7609121771088029,0.6915784518894887,0.830245902328117
Quindio,5.482590079256113,3.928911036864567,7.036269121647658,2.6429244056737313,1.8988158716276735,3.387032939719789,0.7567579452695021,0.6328084454848335,0.8807074450541708
Putumayo,5.838359680007325,4.888075136194082,6.788644223820567,3.3410317971351216,2.9349681984719105,3.7470953957983326,0.6659726864319652,0.6508867617847856,0.6810586110791448
Guainia,6.3067039245029015,5.547517624399353,7.06589022460645,4.187742974916616,3.9125374617741553,4.462948488059077,0.21057899145221814,0.05611144978007687,0.3650465331243594
Vaupes,6.689561364040767,6.0700127052920125,7.309110022789521,4.103755532558828,3.653367050041961,4.554144015075694,0.3699976983625439,0.3535035666419938,0.38649183008309407
Valle Del Cauca,6.927403054048535,3.92721281884644,9.92759328925063,3.759080759629723,2.683595519579777,4.834565999679669,0.6823860270130829,0.5526570810730873,0.8121149729530786
Meta,7.749832530704609,7.000016609174724,8.499648452234494,3.60224747666213,2.7914289265197887,4.413066026804471,0.46485819253456145,0.40415036781851493,0.525566017250608
Guaviare,8.856557406922866,7.930696761883887,9.782418051961844,6.323063448715948,5.9589675854137605,6.687159312018136,0.09309576527748105,-0.0620998701763424,0.2482914007313045
Huila,10.94155541186217,6.420225840112648,15.462884983611692,5.254131810478241,2.980004519131519,7.528259101824963,0.507315429133148,0.34108031519976933,0.6735505430665266
