departamento,RMSE_mean,RMSE_ci_lo,RMSE_ci_hi,MAE_mean,MAE_ci_lo,MAE_ci_hi,R2_mean,R2_ci_lo,R2_ci_hi
Bogota d.c.,0.05225026443489764,0.023972939045792997,0.0805275898240023,0.04093579221866518,0.013713798136771399,0.06815778630055896,0.0,,
Boyaca,0.8114181913906587,0.5736084283971439,1.0492279543841736,0.480332168200371,0.3987993289014702,0.5618650074992718,0.7452892210979121,0.5984098580610872,0.892168584134737
Antioquia,0.8580571053375415,0.6042720960279262,1.1118421146471569,0.5716407320204082,0.44674078551251145,0.6965406785283049,0.8406120699887755,0.7482002544184372,0.9330238855591138
Norte De Santander,0.9607031003662437,0.8342912744341953,1.0871149262982922,0.7390753863347248,0.6950261605618911,0.7831246121075585,0.8359593756481977,0.770587213252277,0.9013315380441184
Magdalena,1.1054258172176696,0.991898433975209,1.2189532004601302,0.8126879382915894,0.7458851715806015,0.8794907050025772,0.721375116501206,0.6687807822885601,0.7739694507138519
Cundinamarca,1.130249360106954,0.47866030012867644,1.7818384200852317,0.6783004555021336,0.35658202926884597,1.0000188817354212,0.8667198591112327,0.7365039389735374,0.9969357792489281
Narino,1.1324006412603147,0.8350929581835289,1.4297083243371005,0.7444775386629562,0.6100183396394089,0.8789367376865035,0.5705854250051602,0.5074332008779083,0.633737649132412
Caldas,1.2863369019107709,0.8233854726632983,1.7492883311582434,0.7274020044634509,0.5380962614841152,0.9167077474427867,0.7493972122783824,0.5825000351705893,0.9162943893861755
Cesar,1.3786158558388457,1.3637516205329445,1.393480091144747,1.0551498295717379,0.9915482759136289,1.1187513832298468,0.5582901034918658,0.5372843578247144,0.5792958491590172
Cordoba,1.4274169252974014,1.2221484101244835,1.6326854404703193,1.1079095981787261,0.946880887977556,1.2689383083798962,0.5238344819719525,0.361650130251014,0.686018833692891
Guajira,1.7787834339681388,1.3442508181847619,2.2133160497515156,1.3508703624581013,1.031033135383041,1.6707075895331616,0.45928665461285667,0.20650987331901954,0.7120634359066937
Choco,1.9355885951447256,1.79130234275162,2.0798748475378313,1.5266656027102659,1.4146619677978804,1.6386692376226513,0.20887818482084877,0.1578312935063233,0.25992507613537424
Cauca,2.00662315268891,1.145764782933432,2.8674815224443875,1.113668183188621,0.7143033886548946,1.5130329777223475,0.8703707129798656,0.7560701289122888,0.9846712970474424
Bolivar,2.0379171048954166,1.55103713364824,2.524797076142593,1.544682940530303,1.1283128926989054,1.9610529883617007,0.7451656280826668,0.6144695702345483,0.8758616859307854
Atlantico,2.1832907384364604,1.3762432834581524,2.990338193414768,1.5675050304545455,0.9083449635075995,2.2266650974014914,0.700886375845045,0.47845364190417655,0.9233191097859135
Risaralda,2.392443188602668,1.2400748736902356,3.5448115035151,1.218382018468769,0.6409224688660334,1.7958415680715047,0.9100531518044823,0.8298553741670339,0.9902509294419307
Sucre,2.578430966426333,2.1338242410062698,3.0230376918463966,1.9275983792189237,1.5730514006743463,2.2821453577635014,0.6175865911555823,0.4737422168438761,0.7614309654672886
Caqueta,2.8654964338740903,2.456812520781226,3.2741803469669546,2.082379287132344,1.930313312869355,2.2344452613953334,0.5966133981714749,0.45250889856057086,0.7407178977823788
Vichada,3.4363762309003953,3.341575756279159,3.5311767055216317,2.1994949249373845,2.1747473978666467,2.2242424520081223,0.3294231240496744,0.24598112762184193,0.41286512047750684
Tolima,3.5480200004482803,1.2161963270591012,5.87984367383746,2.275001566916203,1.0857115467444158,3.46429158708799,0.8428153591882169,0.6723317418227204,1.0132989765537135
Amazonas,3.6354390884340897,1.6477740092825461,5.623104167585633,2.426997094670068,1.7302989977192986,3.123695191620837,0.39783061324473384,0.023189119760103627,0.7724721067293641
Arauca,3.813085160339805,3.0760382323528765,4.550132088326734,2.1877339720576683,1.8009793150763238,2.5744886290390125,0.5004952592595195,0.341875889712442,0.6591146288065971
Quindio,4.176745181606537,2.2382002325406813,6.115290130672394,2.091351232538683,1.2364104380610628,2.946292027016303,0.8577256795721624,0.735036904628553,0.9804144545157718
Santander,4.228057692282029,1.3851739177846132,7.070941466779445,2.6271437444214594,1.0241296935185913,4.2301577953243275,0.8339759593770003,0.6257219012219963,1.0422300175320043
Putumayo,4.322545825937746,3.03708577463655,5.608005877238941,2.6802568179112556,2.1726166322282228,3.1878970035942884,0.8026220218939728,0.7406685309824917,0.8645755128054539
Valle Del Cauca,4.607675050083503,1.7414398875175747,7.4739102126494315,2.7240744593968764,1.2698194999723678,4.178329418821385,0.8382719746065233,0.6943909767888121,0.9821529724242344
Casanare,4.94140075408833,4.483577614201297,5.399223893975363,2.8834434134452693,2.247864766476571,3.5190220604139677,0.6849912171344418,0.6398066150587998,0.7301758192100838
Meta,6.214213300999016,5.282765747628566,7.145660854369466,2.786937869918058,2.05656594255056,3.5173097972855563,0.6490747027936431,0.5842620422674908,0.7138873633197954
Huila,6.592566440521221,5.3041007990741695,7.881032081968272,3.553824031980055,3.1641480868874208,3.9434999770726895,0.7876782949940401,0.6499748145511811,0.925381775436899
Guainia,6.605854648284935,5.862659750979155,7.349049545590715,4.259737575804112,3.882302631180716,4.637172520427509,0.1585253171392794,-0.015850030875262655,0.33290066515382144
Vaupes,6.9676764424743105,6.4599010812321325,7.4754518037164885,4.253650893030223,3.804406805020146,4.702894981040299,0.2864998403280224,0.2638127988110758,0.309186881844969
Guaviare,8.504272295246208,7.674211454731873,9.334333135760543,5.9909123588891475,5.568713840158166,6.413110877620129,0.12971811123305346,-0.048218721450280805,0.3076549439163877
