trial,seed,val_year,held_spatial_fold,held_depts,rmse
0,42,2019,1,"['Atlantico', 'Bolivar', 'Cesar', 'Cordoba', 'Guajira', 'Magdalena', 'Norte De Santander', 'Sucre']",0.7335763199983135
0,42,2019,2,"['Caqueta', 'Cauca', 'Huila', 'Narino', 'Putumayo']",0.6023498188509653
0,42,2019,3,"['Antioquia', 'Bogota d.c.', 'Boyaca', 'Caldas', 'Choco', 'Cundinamarca', 'Meta', 'Quindio', 'Risaralda', 'Santander', 'Tolima', 'Valle Del Cauca']",0.42764742938678135
0,42,2019,4,"['Amazonas', 'Guaviare', 'Vaupes']",1.373563145780518
0,42,2020,1,"['Atlantico', 'Bolivar', 'Cesar', 'Cordoba', 'Guajira', 'Magdalena', 'Norte De Santander', 'Sucre']",0.49322690657756124
0,42,2020,2,"['Caqueta', 'Cauca', 'Huila', 'Narino', 'Putumayo']",0.36067646132138964
0,42,2020,3,"['Antioquia', 'Bogota d.c.', 'Boyaca', 'Caldas', 'Choco', 'Cundinamarca', 'Meta', 'Quindio', 'Risaralda', 'Santander', 'Tolima', 'Valle Del Cauca']",0.3858237457972316
0,42,2020,4,"['Amazonas', 'Guaviare', 'Vaupes']",0.49098089454931604
0,42,2021,1,"['Atlantico', 'Bolivar', 'Cesar', 'Cordoba', 'Guajira', 'Magdalena', 'Norte De Santander', 'Sucre']",0.48328119262537106
0,42,2021,2,"['Caqueta', 'Cauca', 'Huila', 'Narino', 'Putumayo']",0.3242711174278759
0,42,2021,3,"['Antioquia', 'Bogota d.c.', 'Boyaca', 'Caldas', 'Choco', 'Cundinamarca', 'Meta', 'Quindio', 'Risaralda', 'Santander', 'Tolima', 'Valle Del Cauca']",0.24538722874217042
0,42,2021,4,"['Amazonas', 'Guaviare', 'Vaupes']",0.6267122417940398
1,42,2019,1,"['Atlantico', 'Bolivar', 'Cesar', 'Cordoba', 'Guajira', 'Magdalena', 'Norte De Santander', 'Sucre']",0.512844972111231
1,42,2019,2,"['Caqueta', 'Cauca', 'Huila', 'Narino', 'Putumayo']",0.7192072036151144
1,42,2019,3,"['Antioquia', 'Bogota d.c.', 'Boyaca', 'Caldas', 'Choco', 'Cundinamarca', 'Meta', 'Quindio', 'Risaralda', 'Santander', 'Tolima', 'Valle Del Cauca']",0.3610583561280953
1,42,2019,4,"['Amazonas', 'Guaviare', 'Vaupes']",1.3346444726652236
1,42,2020,1,"['Atlantico', 'Bolivar', 'Cesar', 'Cordoba', 'Guajira', 'Magdalena', 'Norte De Santander', 'Sucre']",0.39721732206960514
1,42,2020,2,"['Caqueta', 'Cauca', 'Huila', 'Narino', 'Putumayo']",0.5335511130504994
1,42,2020,3,"['Antioquia', 'Bogota d.c.', 'Boyaca', 'Caldas', 'Choco', 'Cundinamarca', 'Meta', 'Quindio', 'Risaralda', 'Santander', 'Tolima', 'Valle Del Cauca']",0.5284929539906422
1,42,2020,4,"['Amazonas', 'Guaviare', 'Vaupes']",0.46887200675076046
1,42,2021,1,"['Atlantico', 'Bolivar', 'Cesar', 'Cordoba', 'Guajira', 'Magdalena', 'Norte De Santander', 'Sucre']",0.7137342921597926
1,42,2021,2,"['Caqueta', 'Cauca', 'Huila', 'Narino', 'Putumayo']",0.3389973129507771
1,42,2021,3,"['Antioquia', 'Bogota d.c.', 'Boyaca', 'Caldas', 'Choco', 'Cundinamarca', 'Meta', 'Quindio', 'Risaralda', 'Santander', 'Tolima', 'Valle Del Cauca']",0.6118929998460305
1,42,2021,4,"['Amazonas', 'Guaviare', 'Vaupes']",0.4274302058662219
2,42,2019,1,"['Atlantico', 'Bolivar', 'Cesar', 'Cordoba', 'Guajira', 'Magdalena', 'Norte De Santander', 'Sucre']",0.5489624239234117
2,42,2019,2,"['Caqueta', 'Cauca', 'Huila', 'Narino', 'Putumayo']",0.7010175274740541
2,42,2019,3,"['Antioquia', 'Bogota d.c.', 'Boyaca', 'Caldas', 'Choco', 'Cundinamarca', 'Meta', 'Quindio', 'Risaralda', 'Santander', 'Tolima', 'Valle Del Cauca']",0.6141852016015843
2,42,2019,4,"['Amazonas', 'Guaviare', 'Vaupes']",1.6479622395318934
2,42,2020,1,"['Atlantico', 'Bolivar', 'Cesar', 'Cordoba', 'Guajira', 'Magdalena', 'Norte De Santander', 'Sucre']",0.28566946589219777
2,42,2020,2,"['Caqueta', 'Cauca', 'Huila', 'Narino', 'Putumayo']",0.5308220766731425
2,42,2020,3,"['Antioquia', 'Bogota d.c.', 'Boyaca', 'Caldas', 'Choco', 'Cundinamarca', 'Meta', 'Quindio', 'Risaralda', 'Santander', 'Tolima', 'Valle Del Cauca']",0.5415657083864261
2,42,2020,4,"['Amazonas', 'Guaviare', 'Vaupes']",0.5494532707102427
2,42,2021,1,"['Atlantico', 'Bolivar', 'Cesar', 'Cordoba', 'Guajira', 'Magdalena', 'Norte De Santander', 'Sucre']",0.8294897529884291
2,42,2021,2,"['Caqueta', 'Cauca', 'Huila', 'Narino', 'Putumayo']",0.34760500498072233
2,42,2021,3,"['Antioquia', 'Bogota d.c.', 'Boyaca', 'Caldas', 'Choco', 'Cundinamarca', 'Meta', 'Quindio', 'Risaralda', 'Santander', 'Tolima', 'Valle Del Cauca']",0.6190750616841277
2,42,2021,4,"['Amazonas', 'Guaviare', 'Vaupes']",0.45604400295508973
3,42,2019,1,"['Atlantico', 'Bolivar', 'Cesar', 'Cordoba', 'Guajira', 'Magdalena', 'Norte De Santander', 'Sucre']",0.6088725488355335
3,42,2019,2,"['Caqueta', 'Cauca', 'Huila', 'Narino', 'Putumayo']",0.7250350154444994
3,42,2019,3,"['Antioquia', 'Bogota d.c.', 'Boyaca', 'Caldas', 'Choco', 'Cundinamarca', 'Meta', 'Quindio', 'Risaralda', 'Santander', 'Tolima', 'Valle Del Cauca']",0.4238388306280852
3,42,2019,4,"['Amazonas', 'Guaviare', 'Vaupes']",1.4698513852465847
3,42,2020,1,"['Atlantico', 'Bolivar', 'Cesar', 'Cordoba', 'Guajira', 'Magdalena', 'Norte De Santander', 'Sucre']",0.38509260119831995
3,42,2020,2,"['Caqueta', 'Cauca', 'Huila', 'Narino', 'Putumayo']",0.4272315845750645
3,42,2020,3,"['Antioquia', 'Bogota d.c.', 'Boyaca', 'Caldas', 'Choco', 'Cundinamarca', 'Meta', 'Quindio', 'Risaralda', 'Santander', 'Tolima', 'Valle Del Cauca']",0.3796660876417615
